Sno,Filter,Filter command,Example,Result,Threshold,Range
516,Transparent,Makes all pixels of the specified color transparent.,"magick input.png -transparent ""#FF0000"" output.png",Major areas of the specified color are removed.,"Specific color (e.g., #FF0000)",
517,,Exact matches only. (Fuzz factor),"magick input.png -fuzz 0% -transparent ""#FF0000"" output.png",No change unless the exact color is present.,0%,
518,,Allows for slight variations.,"magick input.png -fuzz 10% -transparent ""#FF0000"" output.png",Noticeable changes for colors close to the target.,5% to 10%,
519,,"Broad matching, affecting similar shades.","magick input.png -fuzz 20% -transparent ""#FF0000"" output.png",Significant portions of the image become transparent.,20% and above,
520,,All non-matching pixels become transparent. Inversion with +transparent,"magick input.png +transparent ""#00FF00"" output.png",Isolates the specified color completely.,"Any color (e.g., #00FF00)",
521,,Sets a palette color to be transparent in GIF/PNG8 formats.,"magick input.gif -transparent-color ""#FFFFFF"" output.gif",Background colors or common colors can become transparent.,"Specific color (e.g., #FFFFFF)",
522,Threshold,All pixels become white.,magick input.png -threshold 0% output.png,"Since every pixel value is considered ≥ 0% threshold, all are set to maximum intensity (white).",0%,
523,,Gradual brightening of lighter regions.,magick input.png -threshold 25% output.png,"Darker regions remain black, while increasingly brighter regions turn white.",1-49%,
524,,Midpoint change.,magick input.png -threshold 50% output.png,"Half the image’s pixels shift to white, the rest remain black, based on their intensity.",50%,
525,,Dominantly black image.,magick input.png -threshold 75% output.png,"As the threshold increases, most pixels are reassigned to black; only very bright ones stay white.",51-99%,
526,,All pixels become black.,magick input.png -threshold 100% output.png,"Every pixel intensity is below 100%, so all are set to the minimum intensity (black).",100%,
527,Swirl Filter,No change,magick input.png -swirl 0 output.png,The original image remains intact.,0°,
528,,Mild distortion,magick input.png -swirl 30 output.png,"Subtle swirl effect, especially visible in the center; outer areas are almost unaffected.",1° - 45°,
529,,Moderate swirl,magick input.png -swirl 75 output.png,Swirl effect becomes noticeable; circular rotation of pixels starts becoming clear.,46° - 90°,
530,,Strong swirl,magick input.png -swirl 150 output.png,Prominent swirling effect; pixels near the center show significant rotation.,91° - 180°,
531,,Full circular swirl,magick input.png -swirl 300 output.png,"Image appears wrapped around itself in a vortex-like effect, heavily distorting the entire image.",181° - 360°,
532,,Extreme distortion,magick input.png -swirl 400 output.png,"The swirl effect starts repeating, creating overlapping distortions and spirals.",>360°,
533,,Swirl in the opposite direction,magick input.png -swirl -150 output.png,Negative degrees cause the swirl to rotate in the opposite direction (clockwise instead of counterclockwise).,-1° to -360°,
534,Strip Filter,"Removes metadata such as EXIF, ICC profiles, and PNG chunks.",magick input.jpg -strip output.jpg,"Image retains visual content, but file size reduces.",N/A,
535,,"Removes PNG-specific chunks like bKGD, cHRM, gAMA, iCCP.",magick input.png -strip output.png,Smaller PNG file; removed profiles affect color calibration.,N/A,
536,,"Removes camera information, GPS location, and timestamps from images with EXIF profiles.",magick input.jpg -strip output.jpg,Strips sensitive data for privacy.,N/A,
537,,Resets orientation metadata (such as rotation flags) to avoid display issues in some viewers.,magick input.jpg -orient Undefined -strip output.jpg,No orientation metadata; use +repage for reset canvas.,Set to Undefined,
538,Spread Filter,Minor pixel displacement. Image appears subtly noisy or grainy.,magick input.jpg -spread 2 output.jpg,Slight degradation in smooth textures or edges.,1-5 Pixels,
539,,"Moderate spread effect, visible distortion.",magick input.jpg -spread 10 output.jpg,Soft blurring and randomized patterns throughout the image.,6-15 Pixels,
540,,Noticeable distortion. Details are randomized.,magick input.jpg -spread 20 output.jpg,The original image becomes unrecognizable in places.,16-30 Pixels,
541,,Extreme pixel displacement with chaotic patterns.,magick input.jpg -spread 35 output.jpg,"Abstract, almost mosaic-like effect.",31+ Pixels,
542,,Controls pixel interpolation to smooth the spread effect.,magick input.jpg -interpolate bilinear -spread 8 output.jpg,Reduces harsh pixelation in the spread.,-interpolate Bilinear,
543,,Uses the nearest pixel for lookup during spread.,magick input.jpg -interpolate nearest -spread 10 output.jpg,Produces sharper but noisier results.,-interpolate NearestNeighbor,
544,Splice,Adds 10 pixels of padding along the vertical edge.,"magick input.jpg -background white -splice 0x10 output.jpg  (we can avoid extra filter before -splice)
magick input.jpg -splice 0x10 output.jpg",Thin horizontal padding.,0x10,
545,,Adds 20 pixels along horizontal edges.,magick input.jpg -background blue -splice 20x0 output.jpg,Narrow vertical padding on both sides.,20x0,
546,,Adds padding with a 5-pixel offset from the origin.,magick input.jpg -background red -splice 10x10+5+5 output.jpg,Off-center padding affecting multiple edges.,10x10+5+5,
547,,Adds 30-pixel padding to the bottom of the image.,magick input.jpg -gravity South -splice 0x30 output.jpg,Enlarges canvas at the bottom with padding.,-gravity South -splice 0x30,
548,,Inserts 50-pixel padding to the right of the image.,magick input.jpg -gravity East -splice 50x0 output.jpg,Image is wider with padding on the right edge.,-gravity East -splice 50x0,
549,,Using multiple gravity settings to pad various edges.,magick input.jpg -gravity NorthEast -splice 15x15 output.jpg,"Adds padding to top, bottom, or sides as needed.",Combined Gravity,
550,Solarize,No pixels are inverted; the image remains unchanged.,magick input.jpg -solarize 0.0 output.jpg,Original image without any effect.,0,
551,,Only the brightest pixels are solarized.,magick input.jpg -solarize 10.0 output.jpg,"Slight solarization effect, mostly in highlights.",10,
552,,More mid-tones are solarized; noticeable effects begin.,magick input.jpg -solarize 25.0 output.jpg,Moderate solarization with distinct light areas inverted.,25,
553,,Half of the image's pixels are solarized.,magick input.jpg -solarize 50.0 output.jpg,Significant solarization with mixed effects throughout.,50,
554,,Most pixels are solarized; strong contrast.,magick input.jpg -solarize 75.0 output.jpg,Strong solarization effect; many areas inverted.,75,
555,,Only darkest areas remain unchanged.,magick input.jpg -solarize 90.0 output.jpg,Very high contrast with a surreal effect.,90,
556,,Almost all pixels are solarized; extreme effect.,magick input.jpg -solarize 99.9 output.jpg,Image appears almost entirely inverted; dramatic visuals.,99.9,
557,Sigmoidal Contrast Mid Point,No contrast change; image remains unchanged.,magick input.jpg -sigmoidal-contrast 0x50 output.jpg,Original image without effect.,0,
558,,Low to moderate contrast increase; subtle enhancement.,magick input.jpg -sigmoidal-contrast 2x50 output.jpg,Slightly improved details with minimal clipping.,1--3,
559,,Noticeable contrast enhancement; more detailed.,magick input.jpg -sigmoidal-contrast 5x50 output.jpg,Enhanced shadows and highlights without severe clipping.,3--10,
560,,High contrast enhancement; significant changes.,magick input.jpg -sigmoidal-contrast 15x50 output.jpg,Stronger details; may begin to clip highlights/shadows.,10--20,
561,,Extreme contrast; potential clipping and smoothing effects.,magick input.jpg -sigmoidal-contrast 25x50 output.jpg,Smoothing thresholding effect; loss of details possible.,>20,
562,,Maximum effect on whites; highlights may be lost.,magick input.jpg -sigmoidal-contrast 10x0 output.jpg,Bright areas become clipped; loss of highlight details.,0,
563,,Balanced contrast; retains most details.,magick input.jpg -sigmoidal-contrast 10x50 output.jpg,Natural-looking contrast enhancement.,50%,
564,,Maximum effect on blacks; shadows may be lost.,magick input.jpg -sigmoidal-contrast 10x100 output.jpg,Dark areas become clipped; loss of shadow details.,100%,
565,"/-profile filename
 +profile profile_name
 Manage ICM, IPTC, or generic profiles in an image.
 Each command demonstrates how to manipulate the ICC profile of an image, which can affect color accuracy and reproduction.
 The * character in the command is used to specify that all profiles should be removed.
ICC---International Color Consortium
we should pass a profile along with path compulsorily",Add ICC Profile (Do not use for testing),magick input.jpg -profile sRGB.icc output.jpg,Output: Adds the sRGB ICC profile to the image.,N/A,N/A
566,,Remove ICC Profile (Do not use for testing),"magick input.jpg +profile ""*"" output.jpg",Output: Removes all profiles from the image.,N/A,N/A
567,,Use Custom ICC Profile (Do not use for testing),magick input.jpg -profile custom.icc output.jpg,Output: Applies a custom ICC profile to the image.,N/A,N/A
568,,Apply CMYK Profile (Do not use for testing),magick input.jpg -profile CMYK.icc output.jpg,Output: Applies a CMYK ICC profile to the image.,N/A,N/A
569,,Use Profile for Output (Do not use for testing),magick input.jpg -profile sRGB.icc -profile AdobeRGB1998.icc output.jpg,Output: Applies multiple profiles sequentially to the image.,N/A,N/A
570,,sRGB_v4_ICC_preference_displayclass,magick input.jpg -profile sRGB_v4_ICC_preference_displayclass.icc output.jpg,Applies the sRGB v4 ICC preference display class color profile to the image.,N/A,N/A
571,,sRGB_v4_ICC_preference,magick input.jpg -profile sRGB_v4_ICC_preference.icc output.jpg,Applies the sRGB v4 ICC preference color profile to the image.,N/A,N/A
572,,sRGB2014.,magick input.jpg -profile sRGB2014.icc output.jpg,Applies the sRGB 2014 color profile to the image.,N/A,N/A
573,,Adobe RGB 1998,magick input.jpg -profile AdobeRGB1998.icc output.jpg,Applies the Adobe RGB 1998 color profile to the image.,N/A,N/A
574,,Apple RGB,magick input.jpg -profile AppleRGB.icc output.jpg,Applies the Apple RGB color profile to the image.,N/A,N/A
575,,APTEC PC10 CardBoard 2023 v1,magick input.jpg -profile APTEC_PC10_CardBoard_2023_v1.icc output.jpg,Applies the APTEC PC10 CardBoard color profile.,N/A,N/A
576,,APTEC PC11 CCNB 2023 v1,magick input.jpg -profile APTEC_PC11_CCNB_2023_v1.icc output.jpg,Applies the APTEC PC11 CCNB color profile.,N/A,N/A
577,,CGATS21 CRPC1,magick input.jpg -profile CGATS21_CRPC1.icc output.jpg,Applies the CGATS21 CRPC1 color profile.,N/A,N/A
578,,CGATS21 CRPC2,magick input.jpg -profile CGATS21_CRPC2.icc output.jpg,Applies the CGATS21 CRPC2 color profile.,N/A,N/A
579,,CGATS21 CRPC3,magick input.jpg -profile CGATS21_CRPC3.icc output.jpg,Applies the CGATS21 CRPC3 color profile.,N/A,N/A
580,,CGATS21 CRPC4,magick input.jpg -profile CGATS21_CRPC4.icc output.jpg,Applies the CGATS21 CRPC4 color profile.,N/A,N/A
581,,CGATS21 CRPC5,magick input.jpg -profile CGATS21_CRPC5.icc output.jpg,Applies the CGATS21 CRPC5 color profile.,N/A,N/A
582,,CGATS21 CRPC6,magick input.jpg -profile CGATS21_CRPC6.icc output.jpg,Applies the CGATS21 CRPC6 color profile.,N/A,N/A
583,,CGATS21 CRPC7,magick input.jpg -profile CGATS21_CRPC7.icc output.jpg,Applies the CGATS21 CRPC7 color profile.,N/A,N/A
584,,CNFR27,magick input.jpg -profile CNFR27.ICC output.jpg,Applies the CNFR27 color profile.,N/A,N/A
585,,CNZ005,magick input.jpg -profile CNZ005.ICC output.jpg,Applies the CNZ005 color profile.,N/A,N/A
586,,CNZ006,magick input.jpg -profile CNZ006.ICC output.jpg,Applies the CNZ006 color profile.,N/A,N/A
587,,CNZ007,magick input.jpg -profile CNZ007.ICC output.jpg,Applies the CNZ007 color profile.,N/A,N/A
588,,Coated FOGRA 27,magick input.jpg -profile CoatedFOGRA27.icc output.jpg,Applies the Coated FOGRA 27 color profile.,N/A,N/A
589,,Coated FOGRA 39,magick input.jpg -profile CoatedFOGRA39.icc output.jpg,Applies the Coated FOGRA 39 color profile.,N/A,N/A
590,,Coated GRACoL 2006,magick input.jpg -profile CoatedGRACoL2006.icc output.jpg,Applies the Coated GRACoL 2006 color profile.,N/A,N/A
591,,Coated Fogra 39L VIGC 260,magick input.jpg -profile Coated_Fogra39L_VIGC_260.icc output.jpg,Applies the Coated Fogra 39L VIGC 260 color profile.,N/A,N/A
592,,Coated Fogra 39L VIGC 300,magick input.jpg -profile Coated_Fogra39L_VIGC_300.icc output.jpg,Applies the Coated Fogra 39L VIGC 300 color profile.,N/A,N/A
593,,ColorMatch RGB,magick input.jpg -profile ColorMatchRGB.icc output.jpg,Applies the ColorMatch RGB color profile.,N/A,N/A
594,,GRACoL 2006 Coated 1v2,magick input.jpg -profile GRACoL2006_Coated1v2.icc output.jpg,Applies the GRACoL 2006 Coated 1v2 color profile.,N/A,N/A
595,,GRACoL 2013 UNC CRPC3,magick input.jpg -profile GRACoL2013UNC_CRPC3.icc output.jpg,Applies the GRACoL 2013 UNC CRPC3 color profile.,N/A,N/A
596,,GRACoL 2013 CRPC6,magick input.jpg -profile GRACoL2013_CRPC6.icc output.jpg,Applies the GRACoL 2013 CRPC6 color profile.,N/A,N/A
597,,JapanColor 2001 Coated,magick input.jpg -profile JapanColor2001Coated.icc output.jpg,Applies the JapanColor 2001 Coated color profile.,N/A,N/A
598,,JapanColor 2001 Uncoated,magick input.jpg -profile JapanColor2001Uncoated.icc output.jpg,Applies the JapanColor 2001 Uncoated color profile.,N/A,N/A
599,,JapanColor 2002 Newspaper,magick input.jpg -profile JapanColor2002Newspaper.icc output.jpg,Applies the JapanColor 2002 Newspaper color profile.,N/A,N/A
600,,JapanColor 2003 Web Coated,magick input.jpg -profile JapanColor2003WebCoated.icc output.jpg,Applies the JapanColor 2003 Web Coated color profile.,N/A,N/A
601,,JapanColor 2011 Coated,magick input.jpg -profile JapanColor2011Coated.icc output.jpg,Applies the JapanColor 2011 Coated color profile.,N/A,N/A
602,,Japan Web Coated,magick input.jpg -profile JapanWebCoated.icc output.jpg,Applies the Japan Web Coated color profile.,N/A,N/A
603,,PAL SECAM,magick input.jpg -profile PAL_SECAM.icc output.jpg,Applies the PAL SECAM color profile.,N/A,N/A
604,,PSO Coated v3,magick input.jpg -profile PSOcoated_v3.icc output.jpg,Applies the PSO Coated v3 color profile.,N/A,N/A
605,,PSO sc-b paper v3 FOGRA 54,magick input.jpg -profile PSOsc-b_paper_v3_FOGRA54.icc output.jpg,Applies the PSO sc-b paper v3 FOGRA 54 color profile.,N/A,N/A
606,,PSO uncoated v3 FOGRA 52,magick input.jpg -profile PSOuncoated_v3_FOGRA52.icc output.jpg,Applies the PSO uncoated v3 FOGRA 52 color profile.,N/A,N/A
607,,RSWOP,magick input.jpg -profile RSWOP.icm output.jpg,Applies the RSWOP color profile.,N/A,N/A
608,,SC paper eci,magick input.jpg -profile SC_paper_eci.icc output.jpg,Applies the SC paper eci color profile.,N/A,N/A
609,,SMPTE-C,magick input.jpg -profile SMPTE-C.icc output.jpg,Applies the SMPTE-C color profile.,N/A,N/A
610,,SNAP 2007,magick input.jpg -profile SNAP2007.icc output.jpg,Applies the SNAP 2007 color profile.,N/A,N/A
611,,SWOP 2006 Coated 3 v2,magick input.jpg -profile SWOP2006_Coated3v2.icc output.jpg,Applies the SWOP 2006 Coated 3 v2 color profile.,N/A,N/A
612,,SWOP 2006 Coated 5 v2,magick input.jpg -profile SWOP2006_Coated5v2.icc output.jpg,Applies the SWOP 2006 Coated 5 v2 color profile.,N/A,N/A
613,,SWOP 2013 C3 CRPC5,magick input.jpg -profile SWOP2013C3_CRPC5.icc output.jpg,Applies the SWOP 2013 C3 CRPC5 color profile.,N/A,N/A
614,,Uncoated FOGRA 29,magick input.jpg -profile UncoatedFOGRA29.icc output.jpg,Applies the Uncoated FOGRA 29 color profile.,N/A,N/A
615,,Uncoated Fogra 47L VIGC 260,magick input.jpg -profile Uncoated_Fogra47L_VIGC_260.icc output.jpg,Applies the Uncoated Fogra 47L VIGC 260 color profile.,N/A,N/A
616,,Uncoated Fogra 47L VIGC 300,magick input.jpg -profile Uncoated_Fogra47L_VIGC_300.icc output.jpg,Applies the Uncoated Fogra 47L VIGC 300 color profile.,N/A,N/A
617,,US Web Coated SWOP,magick input.jpg -profile USWebCoatedSWOP.icc output.jpg,Applies the US Web Coated SWOP color profile.,N/A,N/A
618,,US Web Uncoated,magick input.jpg -profile USWebUncoated.icc output.jpg,Applies the US Web Uncoated color profile.,N/A,N/A
619,,Video HD,magick input.jpg -profile VideoHD.icc output.jpg,Applies the Video HD color profile.,N/A,N/A
620,,Video NTSC,magick input.jpg -profile VideoNTSC.icc output.jpg,Applies the Video NTSC color profile.,N/A,N/A
621,,Video PAL,magick input.jpg -profile VideoPAL.icc output.jpg,Applies the Video PAL color profile.,N/A,N/A
622,,Web Coated FOGRA 28,magick input.jpg -profile WebCoatedFOGRA28.icc output.jpg,Applies the Web Coated FOGRA 28 color profile.,N/A,N/A
623,,Web Coated SWOP 2006 Grade 3,magick input.jpg -profile WebCoatedSWOP2006Grade3.icc output.jpg,Applies the Web Coated SWOP 2006 Grade 3 color profile.,N/A,N/A
624,,Web Coated SWOP 2006 Grade 5,magick input.jpg -profile WebCoatedSWOP2006Grade5.icc output.jpg,Applies the Web Coated SWOP 2006 Grade 5 color profile.,N/A,N/A
625,Total filter count : 76,,,,,
626,,,,,,
627,,,,,,
628,,,,,,
629,,,,,,
630,,,,,,
631,,,,,,
632,,,,,,
633,,,,,,
634,,,,,,
635,,,,,,
636,,,,,,
645,,,,,,
646,,,,,,
647,,,,,,
648,,,,,,
649,,,,,,
650,,,,,,
651,,,,,,
652,,,,,,
653,,,,,,
654,,,,,,
655,,,,,,
656,,,,,,
657,,,,,,
658,,,,,,
659,,,,,,
660,,,,,,
